log10(M_*[Msun]),sSFR[1/yr](20Myr),sSFR[1/yr](1Gyr),log10(M_HI[Msun]),sigma_*(<0.8kpc)[km/s],log10(M_BH[Msun])
9.4864,1.3678e-10,8.0393e-11,9.5684,46.746,6.1974
10.14,0,2.2624e-12,8.8215,45.618,-Inf
9.3123,1.4354e-10,8.7426e-11,9.7062,44.055,6.1953
9.7828,0,3.5845e-12,8.2264,62.73,-Inf
9.4704,1.8755e-11,4.2703e-11,9.5436,41.385,6.5768
9.8645,0,1.6636e-11,9.2256,56.499,6.8244
9.1489,8.5282e-11,6.0986e-11,9.3058,41.707,6.2787
9.089,9.869e-11,8.213e-11,9.6591,29.094,6.3173
8.9851,0,5.6313e-11,9.55,37.801,6.3271
9.0954,1.1608e-10,4.3024e-11,9.5398,30.568,6.1767
9.1618,0,5.9607e-11,9.6044,48.612,-Inf
9.3708,1.0568e-10,1.5785e-10,9.3017,40.293,6.3179
9.3829,0,3.5914e-12,8.6832,40.04,6.4617
9.6094,0,1.1529e-12,8.3196,38.424,-Inf
8.8587,0,7.7076e-11,9.2264,42.582,-Inf
8.618,0,5.3582e-11,9.3035,35.762,-Inf
8.7577,0,1.8795e-10,9.1884,30.283,-Inf
8.5543,0,1.2628e-10,9.1058,23.919,-Inf
8.1646,0,1.689e-10,9.1431,46.416,-Inf
8.8998,0,3.5482e-11,9.058,35.309,6.2721
8.4345,0,6.3277e-11,9.198,30.423,-Inf
9.1089,0,1.4069e-12,8.1393,31.606,6.329
9.0624,0,2.891e-12,8.6924,46.844,-Inf
8.8993,0,0,-Inf,31.637,-Inf
8.6026,0,1.8914e-11,9.0555,35.701,-Inf
8.9202,0,1.5893e-11,8.9051,40.178,-Inf
8.3493,2.6961e-10,4.4111e-11,9.214,4.1826,-Inf
8.2809,0,1.5161e-10,9.1181,13.721,-Inf
9.0149,0,2.9775e-12,8.4505,39.875,-Inf
8.3475,0,2.8246e-11,9.1879,28.322,-Inf
9.0929,0,0,-Inf,30.422,-Inf
8.6859,0,2.6947e-11,8.8301,34.722,-Inf
9.1566,0,0,8.2586,26.574,-Inf
8.8382,0,0,-Inf,35.489,-Inf
9.0466,0,1.7541e-11,8.775,31.194,-Inf
8.8773,0,0,7.9566,30.817,-Inf
9.0526,0,0,-Inf,35.401,-Inf
8.7519,0,2.4857e-12,8.5845,33.918,-Inf
8.7664,0,0,8.394,31.901,-Inf
8.2971,0,4.6664e-11,8.8128,16.452,-Inf
8.3731,0,6.223e-11,8.9006,21.929,-Inf
9.1531,0,0,-Inf,34.116,-Inf
8.2767,0,0,8.5507,26.16,-Inf
8.0681,NaN,NaN,8.6846,24.494,-Inf
8.5298,0,0,-Inf,24.262,-Inf
8.822,0,0,-Inf,24.825,-Inf
8.067,NaN,NaN,8.4845,19.062,6.055
8.8534,0,0,7.5016,31.493,-Inf
8.9627,0,0,-Inf,30.215,-Inf
8.2501,0,9.3713e-11,8.4652,26.115,-Inf
8.6852,0,3.0273e-12,8.699,28.053,-Inf
8.2012,0,1.2342e-11,8.2327,14.602,-Inf
8.0906,NaN,NaN,7.2353,4.7358,-Inf
8.7028,0,0,-Inf,25.878,-Inf
9.0213,0,0,6.7668,24.214,-Inf
8.7464,0,0,-Inf,33.269,-Inf
8.4898,0,0,-Inf,24.567,-Inf
9.0019,0,0,-Inf,22.037,-Inf
8.711,0,0,-Inf,23.273,-Inf
8.789,0,0,-Inf,27.668,-Inf
8.1627,0,0,-Inf,33.277,-Inf
8.0102,NaN,NaN,-Inf,20.491,-Inf
8.0688,NaN,NaN,-Inf,34.258,-Inf
8.4677,0,0,-Inf,0,-Inf
8.0356,NaN,NaN,-Inf,45.247,-Inf
8.101,NaN,NaN,-Inf,17.693,-Inf
8.0928,NaN,NaN,-Inf,0,-Inf
8.2006,0,0,-Inf,9.5472,-Inf
8.0662,NaN,NaN,-Inf,1.021,-Inf
12.077,8.1255e-13,7.0986e-13,10.228,226.06,9.7343
9.9494,3.4524e-11,3.2418e-11,9.1462,56.262,-Inf
9.4845,6.6533e-11,9.0496e-11,9.5563,42.126,6.1232
9.2281,6.1272e-11,4.841e-11,9.5158,42.328,5.9792
9.1551,0,7.4881e-11,9.5126,40.899,6.1607
9.0863,9.6225e-11,4.3596e-11,9.214,39.444,-Inf
8.6478,0,2.1801e-11,9.0881,39.374,6.0023
8.789,0,0,-Inf,31.873,-Inf
8.9133,0,0,-Inf,40.66,-Inf
8.4415,0,0,-Inf,34.299,-Inf
8.0714,NaN,NaN,-Inf,11.764,-Inf
8.2326,0,0,-Inf,10.079,-Inf
12.419,8.0555e-14,1.3405e-13,10.296,352.17,10.011
11.468,9.816e-13,8.6547e-13,8.2484,180.06,9.1499
10.469,7.6294e-11,1.2266e-10,9.9041,77.541,7.4236
10.396,0,0,-Inf,75.092,7.9991
10.422,5.6467e-11,6.0806e-11,9.5992,75.482,6.9981
9.9238,1.6811e-10,1.4151e-10,9.9826,53.682,6.6786
10.22,0,0,-Inf,70.499,7.7109
9.9723,4.5547e-11,9.6059e-11,9.3046,62.692,6.4826
9.9455,6.5375e-11,6.0691e-11,9.5747,53.043,6.3362
9.6044,0,0,8.0633,44.976,6.901
9.4309,0,6.9954e-12,8.8201,37.272,-Inf
9.309,0,0,-Inf,40.107,-Inf
9.0949,4.1531e-11,5.9169e-11,9.4753,44.759,-Inf
8.9646,0,4.1893e-11,9.2723,42.991,-Inf
9.5592,0,0,-Inf,33.236,-Inf
8.9886,0,1.4416e-11,8.7469,33.875,-Inf
9.6073,0,0,-Inf,47.545,-Inf
9.2296,0,0,-Inf,37.539,-Inf
9.2478,0,0,-Inf,36.174,-Inf
9.0876,0,0,-Inf,39.383,-Inf
8.5258,0,5.373e-11,9.175,27.175,-Inf
9.1788,0,0,-Inf,34.454,-Inf
8.2756,0,4.3052e-11,9.0056,28.133,-Inf
9.0807,0,0,-Inf,26.687,-Inf
8.6111,0,4.3591e-12,8.8028,25.639,6.3618
8.838,0,0,-Inf,35.347,-Inf
8.9961,0,0,-Inf,28.532,-Inf
8.8492,0,0,-Inf,21.261,-Inf
8.5511,0,0,-Inf,34.419,-Inf
8.0539,NaN,NaN,-Inf,0,-Inf
8.9004,0,0,-Inf,29.571,-Inf
8.5951,0,4.2783e-11,8.7758,24.45,-Inf
8.4545,0,0,-Inf,21.621,-Inf
8.2136,0,0,-Inf,19.653,-Inf
8.2244,0,0,-Inf,13.534,-Inf
8.3627,0,0,-Inf,26.58,-Inf
8.0925,NaN,NaN,-Inf,27.794,-Inf
8.2957,0,0,-Inf,0,-Inf
8.3756,0,0,-Inf,19.376,-Inf
8.347,0,0,-Inf,NaN,-Inf
8.7494,0,0,-Inf,14.705,-Inf
8.0531,NaN,NaN,-Inf,10.254,-Inf
8.334,0,0,-Inf,13.002,-Inf
12.424,2.9233e-13,4.1854e-13,10.514,318.82,9.9539
10.785,1.6312e-10,1.9887e-10,10.139,78.147,7.2923
10.631,1.2699e-10,1.0051e-10,10.317,72.271,7.317
10.777,5.6483e-12,8.543e-12,8.5318,80.658,7.7011
10.395,1.3826e-10,1.5551e-10,10.271,68.246,6.6079
10.184,2.9279e-10,2.176e-10,10.325,65.941,6.4886
10.318,3.0042e-11,2.5031e-11,9.2197,76.562,7.2983
10.175,1.3893e-10,1.2534e-10,10.008,76.727,6.6581
9.8311,1.4573e-10,1.4037e-10,10.053,53.368,6.1159
9.882,2.1768e-11,2.4725e-11,9.4092,43.827,6.2298
9.1559,0,0,7.7601,25.981,-Inf
9.093,0,0,-Inf,28.271,-Inf
8.3777,0,1.7097e-11,8.8616,28.394,-Inf
8.2353,0,0,-Inf,11.867,-Inf
8.1787,0,0,-Inf,31.198,-Inf
12.113,5.8026e-13,4.3817e-13,9.9552,306.18,9.5396
12.048,0,4.5156e-13,9.4224,303.29,9.8345
11.907,2.4549e-12,7.6893e-12,10.036,246.9,9.2328
11.756,2.3639e-12,2.0264e-12,9.1898,173.92,9.0172
10.873,0,1.3281e-12,9.0838,109.01,8.5335
10.957,2.334e-11,2.8322e-11,9.7178,91.509,7.9507
11.053,5.9931e-12,4.785e-12,9.176,100.62,8.1311
10.785,1.5192e-10,1.1951e-10,10.337,81.255,7.2646
10.607,5.7479e-11,7.5264e-11,9.9151,81.157,7.7405
10.871,0,8.1057e-12,8.5998,89.855,7.5357
10.921,1.874e-12,7.9459e-12,8.4611,97.726,8.0022
10.705,3.1667e-11,5.3668e-11,9.4683,84.205,7.6294
10.746,1.2502e-11,4.942e-11,9.3153,81.015,7.5819
10.167,1.6092e-10,1.9803e-10,10.198,66.505,6.8079
10.383,3.2889e-12,8.4849e-12,8.8109,74.647,7.7815
10.031,1.5239e-10,1.5726e-10,10.032,64.662,6.6914
10.209,4.0772e-11,6.7255e-11,8.779,68.832,6.8885
10.175,8.8781e-11,7.3908e-11,9.9663,58.222,6.4969
10.045,5.7152e-11,8.4741e-11,9.9504,58.146,6.4889
10.221,4.9997e-11,3.7754e-11,9.8,67.22,6.8273
10.324,1.2983e-11,2.2833e-11,8.931,68.321,7.1962
9.8628,4.0598e-11,7.081e-11,9.6318,56.551,6.4714
9.9301,1.2745e-10,1.4484e-10,9.8938,67.355,6.677
9.7911,6.2301e-11,1.4876e-10,9.841,48.989,6.4439
9.8526,1.0801e-10,5.6034e-11,9.6739,48.75,6.6531
10.3,8.3474e-12,1.1812e-11,9.2996,57.552,-Inf
9.6012,2.174e-10,1.2038e-10,9.8171,46.267,6.2175
9.8466,2.1156e-11,4.6695e-11,9.605,51.597,-Inf
9.619,1.9743e-11,9.0328e-11,9.6995,35.629,6.3213
9.7134,3.1934e-11,9.0258e-11,9.6202,58.387,6.3507
9.2488,1.2621e-10,1.8055e-10,9.5877,57.621,6.2891
9.4799,2.075e-11,5.6158e-11,9.5515,41.473,6.2622
9.5022,4.1174e-11,6.1959e-11,9.3507,46.422,6.1881
9.3448,3.4933e-11,1.1905e-10,9.6246,48.779,6.0129
9.2061,0,1.4845e-11,8.9747,38.621,6.6034
9.6418,0,2.1456e-11,8.9151,40.684,6.4105
8.958,0,1.0023e-10,9.5716,39.452,6.0707
9.1615,4.368e-11,7.4111e-11,9.4166,36.78,6.3019
9.2748,0,3.3207e-11,9.1739,39.61,6.3601
9.2211,0,3.8644e-11,9.2581,30.528,6.1651
9.1427,0,6.4882e-11,9.5761,33.374,6.1199
8.8108,0,1.6549e-10,9.3349,37.119,6.2432
8.8298,2.622e-10,1.3358e-10,9.4889,35.608,-Inf
8.958,3.6781e-10,5.9254e-11,9.3677,39.769,6.224
9.0783,7.183e-11,7.1662e-11,9.378,37.711,5.9271
9.4941,0,8.8749e-12,8.4117,41.593,-Inf
8.8048,9.7767e-11,3.302e-11,9.2831,30.989,6.0583
9.4122,0,2.732e-12,8.7134,36.648,6.3801
8.8734,0,7.9952e-11,8.9964,38.217,-Inf
8.7142,0,8.6787e-11,9.1607,42.641,6.3667
9.2117,0,8.0912e-12,8.8492,36.442,-Inf
8.715,0,6.1134e-11,9.0438,29.959,6.1984
8.743,0,6.8618e-11,9.3428,34.483,-Inf
8.8915,0,1.2518e-11,8.7832,32.688,6.3151
8.8949,0,1.4906e-11,8.6647,38.661,6.3901
8.529,1.6327e-10,1.3785e-10,9.3546,21.442,-Inf
8.565,0,3.3162e-11,8.8562,21.012,6.1847
9.2732,4.6021e-11,6.7871e-12,8.8153,39.061,-Inf
9.1524,0,0,7.5971,34.433,-Inf
8.7679,0,1.2902e-11,8.8688,32.667,-Inf
8.2255,0,0,8.0594,23.529,-Inf
8.1654,0,6.5432e-11,8.6546,28.204,-Inf
8.7472,0,1.1531e-11,8.9451,30.635,6.349
9.2351,0,0,-Inf,31.179,-Inf
8.1976,0,1.1656e-10,8.875,17.964,6.15
8.655,0,1.673e-11,8.6353,34.57,-Inf
8.0493,NaN,NaN,8.7938,28.39,-Inf
8.582,0,5.6463e-12,8.2361,32.394,-Inf
8.6204,0,0,-Inf,24.535,-Inf
8.7697,0,1.1136e-11,8.6854,30.269,-Inf
9.0498,0,0,-Inf,37.882,-Inf
8.7117,0,0,6.2282,32.958,-Inf
8.8246,0,0,-Inf,38.127,-Inf
8.4916,0,0,-Inf,22.843,-Inf
8.5449,0,0,-Inf,26.414,-Inf
8.4192,0,0,8.5589,26.785,-Inf
8.3938,0,0,-Inf,37.977,-Inf
8.349,0,0,-Inf,21.606,-Inf
