log10(M_*[Msun]),sSFR[1/yr](20Myr),sSFR[1/yr](1Gyr),log10(M_HI[Msun]),sigma_*(<0.8kpc)[km/s],log10(M_BH[Msun])
8.9021,0,7.4065e-12,9.0295,0,-Inf
8.6438,0,9.4478e-11,9.4635,0,6.2735
9.4192,2.9931e-11,7.0931e-11,9.6986,0,6.2151
9.1618,0,1.1071e-10,9.7944,0,6.3838
9.337,9.5537e-11,8.9266e-11,9.4342,0,6.6247
9.1383,1.3547e-10,1.4508e-10,9.7611,0,6.2071
9.2782,1.7444e-10,1.245e-10,9.7574,0,6.3193
9.2865,2.5417e-10,1.5512e-10,9.789,0,6.3252
9.2759,9.0026e-11,1.4638e-10,9.739,0,6.1987
9.4041,2.5281e-11,8.5297e-11,9.7897,0,6.2242
8.3938,0,8.3648e-11,9.4538,0,-Inf
8.3758,1.0546e-09,2.0253e-10,9.4675,0,6.2478
9.2336,1.2361e-10,1.4472e-10,9.8561,0,6.3807
9.3481,1.2828e-10,1.3704e-10,9.7923,0,6.1277
9.0763,5.8182e-11,9.2884e-11,9.8151,0,6.3232
9.2596,8.5008e-11,1.4054e-10,9.8104,0,6.2158
9.1471,2.8749e-10,1.1789e-10,9.7779,0,6.1383
8.5623,0,1.241e-10,9.5442,0,6.2775
9.1105,4.7421e-11,1.2223e-10,9.7939,0,6.0825
8.6212,1.2723e-10,1.7568e-10,9.681,0,-Inf
9.2699,1.8289e-10,1.673e-10,9.761,0,6.157
9.4061,7.4989e-11,1.2888e-10,9.8045,0,6.1403
9.1949,1.4236e-10,8.0567e-11,9.716,0,6.1685
9.047,0,2.0747e-10,9.7734,0,6.1693
9.3857,1.7093e-10,8.1718e-11,9.6367,0,6.1359
9.1131,1.2448e-10,1.58e-10,9.828,0,6.1223
8.9962,8.3218e-11,2.8917e-10,9.7023,0,5.9979
9.3397,3.6091e-11,8.0088e-11,9.7497,0,6.2007
9.1166,7.0127e-11,7.0238e-11,9.4743,0,6.1245
8.7735,2.603e-10,9.8838e-11,9.6593,0,-Inf
9.376,2.0012e-10,8.2956e-11,9.7065,0,6.2714
9.0207,0,7.7382e-11,9.5718,0,6.027
8.9997,2.4014e-10,1.2571e-10,9.7955,0,6.3474
8.3974,3.2526e-10,2.5993e-10,9.4901,0,6.3217
9.1304,3.4582e-10,8.3699e-11,9.596,0,-Inf
8.2288,0,6.3335e-11,9.392,0,-Inf
9.2167,1.9375e-10,1.5662e-10,9.8534,0,6.2125
9.0864,5.3653e-11,1.1211e-10,9.7957,0,6.2831
9.3198,4.3966e-11,6.7495e-11,9.5785,0,6.2071
9.3411,3.5824e-11,1.3902e-10,9.7448,0,6.3409
9.0239,2.6906e-10,1.6225e-10,9.8192,0,6.0141
9.2306,6.1663e-11,1.5048e-10,9.7919,0,6.149
9.039,2.6273e-10,1.0712e-10,9.7753,0,6.2413
8.9225,1.0437e-10,1.9011e-10,9.76,0,6.1518
9.1413,1.163e-10,6.4604e-11,9.5733,0,6.014
8.8632,1.1248e-10,1.302e-10,9.7864,0,6.3474
8.7182,0,1.4609e-10,9.4626,0,6.3177
8.809,0,5.8629e-11,9.2558,0,-Inf
9.2408,2.0636e-10,1.1863e-10,9.7941,0,6.1858
9.1477,0,1.7511e-10,9.8336,0,6.0876
9.013,4.2853e-10,1.94e-10,9.8157,0,6.213
9.3707,5.2374e-11,8.7408e-11,9.681,0,6.29
9.2981,0,9.0313e-11,9.7284,0,6.2145
9.3243,2.6699e-10,1.322e-10,9.8303,0,6.1236
8.8838,2.5342e-10,2.0659e-10,9.8107,0,6.3276
9.1278,1.6999e-10,2.3218e-10,9.7993,0,6.0054
9.3725,1.1697e-10,8.5025e-11,9.6926,0,6.3318
9.2547,2.2411e-10,1.5905e-10,9.8215,0,6.3459
9.1964,9.7577e-11,8.4413e-11,9.7273,0,5.9495
9.1579,0,1.023e-10,9.7774,0,6.1327
9.2548,1.3729e-10,8.3223e-11,9.6718,0,6.0663
9.0274,3.3643e-10,1.2867e-10,9.8522,0,6.2805
9.2692,1.1387e-10,9.252e-11,9.7756,0,6.288
9.0825,0,1.7316e-10,9.8165,0,6.3324
9.2186,1.0173e-10,1.2821e-10,9.7789,0,6.1039
9.2597,5.7309e-11,1.337e-10,9.7373,0,6.2685
9.125,6.7471e-11,1.4014e-10,9.7795,0,6.2429
9.3695,5.6569e-11,1.1955e-10,9.7966,0,6.3245
9.3259,9.5513e-11,8.9828e-11,9.7194,0,6.2216
8.9236,1.8608e-10,2.4265e-10,9.7941,0,6.2645
9.309,1.5545e-10,7.5072e-11,9.7409,0,6.3769
9.3135,3.4848e-11,1.0197e-10,9.7128,0,6.3036
9.1825,1.9657e-10,1.4063e-10,9.7953,0,6.2892
9.3303,1.746e-10,1.1204e-10,9.8465,0,6.2348
9.155,0,6.3015e-11,9.7778,0,6.2562
9.2841,7.9651e-11,1.1262e-10,9.7502,0,6.296
9.3743,2.1078e-10,1.0944e-10,9.739,0,6.1592
8.9974,1.55e-10,1.6228e-10,9.8693,0,6.2634
9.2912,1.8654e-10,8.5048e-11,9.7468,0,6.1966
8.972,4.0433e-10,2.3106e-10,9.8238,0,6.2089
9.2057,1.2122e-10,7.7082e-11,9.7148,0,6.2416
9.2753,0,1.2573e-10,9.7087,0,6.3052
9.1201,5.5709e-11,1.5316e-10,9.866,0,6.2543
9.0235,6.9253e-11,1.3789e-10,9.7994,0,6.1745
9.245,3.8125e-11,8.5605e-11,9.733,0,6.1863
8.7055,3.7567e-10,1.4859e-10,9.6023,0,6.2724
9.2701,1.0804e-10,1.8085e-10,9.7937,0,6.2589
9.2953,6.1581e-11,1.0912e-10,9.7405,0,6.1587
9.3335,0,7.5539e-11,9.7266,0,6.2734
9.1941,9.2762e-11,1.4126e-10,9.8168,0,6.2618
9.2899,3.9025e-11,7.6845e-11,9.7852,0,6.0368
9.219,3.7857e-11,9.7916e-11,9.7837,0,6.2149
9.303,9.5285e-11,8.9505e-11,9.7433,0,6.1656
8.9002,1.8581e-10,2.5358e-10,9.8544,0,6.2438
9.1271,1.7244e-10,1.7516e-10,9.8321,0,6.204
9.146,5.8556e-10,2.8284e-10,9.7507,0,6.2523
9.4043,7.51e-11,9.3411e-11,9.736,0,6.2766
9.2336,5.5337e-11,7.0099e-11,9.6674,0,6.0646
9.1719,4.0094e-11,1.2763e-10,9.8115,0,6.2729
9.083,0,9.1349e-11,9.7114,0,6.2501
9.2948,1.8322e-10,9.3456e-11,9.682,0,6.2841
9.116,0,1.3561e-10,9.7921,0,6.0272
9.2983,8.8346e-11,5.3509e-11,9.6492,0,6.1891
8.6398,1.3112e-10,2.6382e-10,9.6432,0,6.2795
9.2151,8.3137e-11,1.6691e-10,9.7993,0,6.0882
9.0675,2.3453e-10,2.1888e-10,9.8385,0,6.0772
9.1829,1.4406e-10,9.5111e-11,9.7825,0,6.3143
9.1387,4.932e-11,1.5833e-10,9.7319,0,6.2205
9.3688,1.1067e-10,8.7366e-11,9.7573,0,6.2686
9.2185,3.6922e-11,9.5861e-11,9.7329,0,6.1744
8.7889,1.9537e-10,2.2218e-10,9.7055,0,6.137
9.2235,4.5494e-11,8.734e-11,9.701,0,6.1774
9.2382,1.516e-10,8.0207e-11,9.6314,0,6.0099
9.0228,1.2858e-10,1.525e-10,9.8178,0,6.3215
9.1755,1.0116e-10,1.3604e-10,9.807,0,6.0979
8.8383,1.1645e-10,1.4269e-10,9.828,0,6.232
9.1157,1.3794e-10,1.1824e-10,9.8063,0,6.2015
9.1055,2.2903e-10,1.2689e-10,9.8121,0,6.1375
9.2177,1.1801e-10,1.0303e-10,9.7815,0,6.1124
9.5307,6.5528e-11,6.7685e-11,9.7413,0,6.1913
9.3669,5.7426e-11,7.4218e-11,9.6932,0,6.3351
9.4644,1.93e-10,6.5278e-11,9.7051,0,6.343
9.038,0,1.4396e-10,9.8429,0,6.1883
9.4197,0,7.2374e-11,9.7284,0,6.2223
9.4563,4.9315e-11,3.6215e-11,9.6185,0,6.3678
9.1406,0,1.3995e-10,9.78,0,6.2582
9.3491,1.2748e-10,1.1575e-10,9.7605,0,6.0628
9.0997,3.6446e-10,1.6859e-10,9.836,0,6.209
8.8804,3.472e-10,1.048e-10,9.5498,0,6.3037
9.3179,8.4394e-11,1.0898e-10,9.6753,0,6.1793
8.7644,5.3197e-10,2.4334e-10,9.695,0,6.2418
9.2969,1.538e-10,9.9907e-11,9.8089,0,6.2273
9.3784,8.3483e-11,7.5566e-11,9.6976,0,6.0511
9.3419,0,1.0604e-10,9.786,0,6.0557
9.2798,1.2976e-10,6.225e-11,9.6744,0,6.229
9.2043,8.5855e-11,1.175e-10,9.7269,0,6.297
9.0693,1.0086e-10,1.1875e-10,9.7667,0,6.3775
9.0281,5.9937e-11,1.0114e-10,9.7868,0,6.3141
9.1685,0,1.2706e-10,9.7873,0,6.1969
9.3432,3.7793e-11,7.9997e-11,9.7609,0,6.0377
9.2684,1.0671e-10,1.2057e-10,9.7996,0,6.2406
9.2009,1.4737e-10,1.279e-10,9.8232,0,6.2223
9.2521,1.2648e-10,6.8635e-11,9.7463,0,6.3905
9.1185,4.4616e-10,1.1647e-10,9.8113,0,6.156
9.2879,4.943e-11,8.9988e-11,9.6513,0,6.2133
9.5405,0,6.1495e-11,9.819,0,6.252
9.0977,1.1042e-10,1.4425e-10,9.8266,0,6.1119
9.0377,9.4433e-11,1.2077e-10,9.7416,0,6.2993
9.2272,2.8376e-10,1.3991e-10,9.7414,0,6.1973
9.2679,1.1081e-10,1.0648e-10,9.8336,0,6.2733
9.1905,3.0337e-10,9.2686e-11,9.7977,0,6.256
9.1419,1.6066e-10,1.1329e-10,9.6772,0,6.1779
8.9016,8.2138e-11,2.3435e-10,9.7776,0,6.284
9.0929,8.5375e-11,1.7196e-10,9.6863,0,6.1736
9.3336,1.1389e-10,1.0711e-10,9.6153,0,6.2042
9.0578,1.5386e-10,2.1829e-10,9.8218,0,6.2381
9.1763,1.1181e-10,1.4999e-10,9.8138,0,6.3368
9.2932,0,1.0026e-10,9.7449,0,6.1864
9.1875,1.7364e-10,1.3615e-10,9.768,0,6.2719
9.2631,0,1.3208e-10,9.7797,0,6.1248
9.4369,1.8516e-10,1.3009e-10,9.7533,0,6.2333
9.5469,2.3573e-11,6.8573e-11,9.714,0,6.3991
9.1585,2.5532e-10,1.7803e-10,9.7078,0,6.3197
9.4282,3.6376e-11,6.3183e-11,9.7439,0,6.2199
9.0796,1.3607e-10,1.0001e-10,9.6395,0,6.207
9.2324,2.5515e-10,1.0915e-10,9.8393,0,6.1659
9.2593,0,1.4026e-10,9.7636,0,6.1888
9.1022,1.1916e-10,9.9161e-11,9.7243,0,6.3489
9.1562,0,8.0261e-11,9.7754,0,6.2008
9.185,4.4678e-11,1.0809e-10,9.7997,0,6.2942
8.9948,2.1625e-10,1.599e-10,9.8396,0,6.2376
9.0567,1.4716e-10,2.0647e-10,9.7991,0,6.3384
8.9654,3.524e-10,1.784e-10,9.8263,0,6.154
9.2293,0,1.0699e-10,9.7401,0,6.2242
9.2418,0,1.0363e-10,9.8664,0,6.3212
9.1301,2.0887e-10,1.5362e-10,9.7332,0,6.4018
9.1416,1.1896e-10,1.1634e-10,9.7394,0,6.027
9.1493,2.2367e-10,9.2189e-11,9.7259,0,6.1126
9.0749,0,1.4359e-10,9.8041,0,6.2808
9.3619,1.4179e-10,1.5505e-10,9.7688,0,6.1673
9.4043,1.8209e-10,1.6819e-10,9.7775,0,6.2054
8.9431,2.0134e-10,1.7163e-10,9.8204,0,6.3447
9.5756,4.7321e-11,3.9652e-11,9.5847,0,6.1712
9.0541,6.0681e-11,1.6625e-10,9.7711,0,6.2734
9.4587,7.8782e-11,7.6062e-11,9.7502,0,6.0685
9.3138,1.7649e-10,1.355e-10,9.7717,0,6.4453
9.091,0,1.7393e-10,9.8261,0,5.8685
9.2982,1.2544e-10,7.2209e-11,9.7635,0,6.3147
9.3542,8.688e-11,9.6086e-11,9.7154,0,6.3808
9.012,3.29e-10,1.5135e-10,9.8453,0,6.2781
9.2918,4.3914e-11,8.1021e-11,9.7316,0,6.2103
9.2454,7.6289e-11,1.0428e-10,9.7582,0,6.0344
9.237,1.352e-10,1.0471e-10,9.8129,0,6.3349
9.1956,5.857e-11,8.0468e-11,9.7778,0,6.1008
9.1756,1.0806e-10,1.4268e-10,9.7815,0,6.022
9.2575,1.527e-11,3.5137e-11,9.3419,0,6.1873
9.3271,8.9299e-11,9.7364e-11,9.7081,0,6.1496
9.3217,0,9.1254e-11,9.775,0,6.1189
9.1525,1.4118e-10,1.3951e-10,9.7115,0,5.9884
9.3866,5.5025e-11,3.8479e-11,9.6237,0,6.1219
9.2726,3.1761e-10,1.5442e-10,9.6825,0,6.3624
9.0761,0,9.1342e-11,9.7555,0,6.1993
8.9185,0,1.7058e-10,9.7561,0,6.265
8.969,1.701e-10,1.5125e-10,9.6833,0,6.2684
8.7228,8.5687e-11,1.4213e-10,9.5104,0,6.2689
8.2693,5.7753e-10,1.3786e-10,9.2672,0,-Inf
9.077,1.219e-10,1.1933e-10,9.7566,0,5.9601
9.1663,6.8224e-11,1.0988e-10,9.7996,0,6.2706
9.0305,2.8127e-10,2.1619e-10,9.8187,0,6.0391
9.2853,1.092e-10,1.5199e-10,9.8062,0,6.211
8.6019,0,2.4093e-10,9.614,0,6.162
9.3407,7.3237e-11,1.1367e-10,9.7388,0,6.3042
9.1658,3.0565e-11,9.032e-11,9.5201,0,6.1183
9.0238,5.0277e-10,3.0331e-10,9.7975,0,5.958
9.3816,1.7276e-10,8.3677e-11,9.7944,0,6.4118
9.1311,1.5903e-10,1.3558e-10,9.7238,0,5.9819
8.805,7.7979e-11,1.4604e-10,9.7813,0,6.2802
9.1441,1.2745e-10,1.4247e-10,9.808,0,6.0233
9.1899,7.4883e-11,9.2985e-11,9.7275,0,6.2014
9.0311,1.9265e-10,1.4312e-10,9.806,0,6.2761
9.1652,0,3.5252e-11,9.4504,0,6.2169
9.2338,0,1.1815e-10,9.7432,0,6.3418
9.0899,3.5922e-10,2.574e-10,9.788,0,6.236
9.0868,1.4354e-10,9.3567e-11,9.7113,0,6.1742
9.0232,0,1.1831e-10,9.819,0,6.2783
8.9484,0,1.0797e-10,9.4789,0,6.2756
9.2617,1.2613e-10,1.415e-10,9.7686,0,6.1608
9.2324,4.5331e-11,1.2617e-10,9.826,0,6.0201
9.2027,6.4056e-11,1.3214e-10,9.8077,0,6.3301
9.2039,8.8372e-11,2.2092e-10,9.8436,0,6.1475
9.223,7.4288e-11,9.5872e-11,9.6145,0,6.1088
9.2987,9.1475e-11,1.125e-10,9.6802,0,6.1576
8.9039,3.7408e-10,1.6686e-10,9.8271,0,6.2986
9.2488,2.8504e-10,1.0541e-10,9.7681,0,6.2957
8.8382,2.8391e-10,1.3172e-10,9.8296,0,6.0603
9.3689,2.6747e-10,1.8619e-10,9.8687,0,5.9774
9.3464,3.5573e-11,8.1383e-11,9.7209,0,6.3355
9.2129,1.3842e-10,1.1193e-10,9.8175,0,6.295
9.0113,8.9309e-11,2.6675e-10,9.7232,0,6.2664
9.1027,3.6027e-10,1.3659e-10,9.7605,0,6.376
9.1404,2.2958e-10,1.1382e-10,9.6236,0,6.3782
9.2018,1.8424e-10,1.882e-10,9.6631,0,6.0981
9.1145,6.1978e-10,1.2913e-10,9.8162,0,6.171
9.3895,1.1341e-10,5.1692e-11,9.6648,0,6.3772
9.3506,9.5073e-11,9.2888e-11,9.715,0,6.3667
9.173,1.0847e-10,1.3134e-10,9.7235,0,6.3654
9.0087,7.8424e-11,1.4566e-10,9.8075,0,6.2678
9.4187,7.711e-11,7.4527e-11,9.5807,0,6.3211
8.9419,9.275e-11,1.4302e-10,9.8209,0,6.2913
8.8501,9.7604e-11,1.2321e-10,9.5981,0,6.3626
9.0151,8.6779e-11,1.7141e-10,9.7003,0,6.2174
8.3427,0,7.0125e-11,9.3,0,6.3627
8.1113,NaN,NaN,9.2194,0,-Inf
8.8852,3.8953e-10,1.2248e-10,9.7594,0,6.2199
9.2203,0,1.2667e-10,9.7527,0,6.2569
9.2884,6.951e-11,8.4815e-11,9.5452,0,6.1663
9.396,7.071e-11,1.1694e-10,9.7224,0,6.3102
8.5197,0,1.2725e-10,9.4976,0,-Inf
8.483,3.5895e-10,2.2241e-10,9.4124,0,6.3238
9.2704,0,7.8355e-11,9.6077,0,6.2552
8.9373,3.5652e-10,1.7322e-10,9.7815,0,6.2255
9.0467,7.9096e-11,1.3656e-10,9.7489,0,6.1412
8.7536,5.8089e-10,2.3389e-10,9.7759,0,6.0473
9.2901,0,2.5759e-11,9.3964,0,6.3433
9.0773,4.0595e-10,2.5646e-10,9.8226,0,6.2102
9.34,1.1904e-10,9.6757e-11,9.6857,0,6.195
9.1566,4.3012e-11,7.1252e-11,9.66,0,6.0362
9.1972,0,8.4709e-11,9.6242,0,6.1564
9.0848,2.6964e-10,1.2871e-10,9.8017,0,6.0208
9.2429,8.3908e-11,7.0338e-11,9.6504,0,6.303
9.324,1.1272e-10,1.0738e-10,9.7124,0,6.2964
8.8171,3.2952e-10,1.4634e-10,9.8437,0,6.1116
9.0641,1.9088e-10,9.5747e-11,9.7482,0,6.1256
9.2008,2.0454e-10,1.1614e-10,9.7658,0,6.3502
9.3581,1.6706e-10,1.1237e-10,9.7107,0,6.2535
8.8346,1.6716e-10,2.9137e-10,9.8366,0,6.1841
9.0477,1.1138e-10,9.2557e-11,9.7803,0,6.2388
8.952,7.6808e-11,1.3935e-10,9.6586,0,6.208
9.4448,1.1203e-10,1.224e-10,9.7779,0,6.1325
9.1511,3.3889e-10,1.5801e-10,9.8044,0,6.044
9.2894,1.2508e-10,1.2887e-10,9.7004,0,6.1961
9.2162,2.6186e-10,1.2644e-10,9.7309,0,6.1997
9.0512,0,1.1042e-10,9.6903,0,6.2352
9.2374,3.3726e-11,1.4782e-10,9.7541,0,6.1254
9.0994,6.1404e-11,1.2511e-10,9.8159,0,6.239
9.5272,1.4998e-10,1.3079e-10,9.6912,0,6.1955
9.0726,1.0099e-10,1.0189e-10,9.809,0,6.3348
9.3117,3.4541e-10,2.0417e-10,9.7769,0,6.3046
9.1763,4.2301e-11,1.7916e-10,9.746,0,6.2674
9.1926,1.976e-10,1.7793e-10,9.7471,0,6.1977
9.1148,7.0854e-10,2.4792e-10,9.8248,0,6.2811
9.1807,1.247e-10,7.5908e-11,9.7408,0,6.3764
9.3053,0,8.1667e-11,9.7157,0,6.1833
9.1843,4.4919e-11,8.5228e-11,9.8043,0,6.1448
9.5188,4.8216e-11,7.1656e-11,9.793,0,6.2172
9.1746,3.4185e-10,2.423e-10,9.7977,0,6.1862
8.3903,2.5794e-10,3.0173e-10,9.4391,0,5.9553
9.0893,0,6.0557e-11,9.682,0,5.8432
9.4751,1.2102e-10,8.52e-11,9.7403,0,6.341
9.229,9.1009e-11,8.7413e-11,9.7501,0,6.1272
8.9403,2.9929e-10,1.4552e-10,9.7683,0,6.3726
8.5217,0,2.0468e-10,9.7223,0,6.1883
9.3124,1.0794e-10,1.1973e-10,9.6395,0,6.3705
9.0275,9.1531e-11,1.4047e-10,9.7699,0,6.2702
9.336,7.4589e-11,1.1684e-10,9.7618,0,6.368
9.3955,7.8511e-11,8.1425e-11,9.5967,0,6.1248
9.2206,2.0939e-10,1.6775e-10,9.7445,0,6.0654
9.3333,1.0629e-10,1.1425e-10,9.7764,0,6.0844
9.1365,1.3758e-10,1.3681e-10,9.8065,0,6.3128
8.9149,2.6617e-10,1.3105e-10,9.7343,0,6.2709
8.7923,2.4184e-10,1.5504e-10,9.7833,0,6.1772
9.3302,3.1887e-11,9.3277e-11,9.7509,0,6.3256
9.1027,1.1753e-10,1.0783e-10,9.7746,0,6.0959
9.1333,1.0129e-10,1.1169e-10,9.7755,0,6.2488
9.2119,6.0039e-11,9.2524e-11,9.7802,0,6.1022
9.1672,1.4692e-10,9.8014e-11,9.7326,0,6.3026
9.2518,2.125e-10,1.1226e-10,9.7661,0,6.2797
8.9293,2.4216e-10,1.401e-10,9.7578,0,6.1422
9.2469,0,7.3018e-11,9.7398,0,6.2628
9.0261,0,6.3068e-11,9.8178,0,6.056
9.3185,4.542e-11,7.5273e-11,9.7603,0,6.1491
9.4369,1.7839e-10,1.3317e-10,9.7137,0,6.2836
9.2638,0,8.3078e-11,9.6633,0,6.0859
9.34,4.8775e-11,9.3482e-11,9.7071,0,6.0856
8.7282,6.0525e-10,1.8008e-10,9.7579,0,6.3779
8.6194,1.624e-10,1.0724e-10,9.3593,0,6.0602
8.9062,0,3.3922e-11,9.1629,0,6.1498
9.2555,1.3435e-10,1.073e-10,9.7235,0,6.3932
9.3791,4.9363e-11,1.2432e-10,9.7565,0,6.3318
9.4251,1.4377e-10,3.358e-11,9.5976,0,6.2905
9.2369,5.4378e-11,8.0942e-11,9.7196,0,6.0927
8.8677,6.0552e-11,7.9818e-11,9.5348,0,6.2585
8.5229,0,5.0686e-11,9.4932,0,-Inf
9.1839,3.9478e-11,1.3573e-10,9.8194,0,6.0334
9.3014,8.6062e-11,9.3049e-11,9.7216,0,6.1938
8.8639,1.3419e-10,2.1752e-10,9.8103,0,6.1741
8.7709,3.572e-10,1.8932e-10,9.6545,0,6.2426
8.8708,8.7619e-11,1.7813e-10,9.7495,0,6.2667
9.2073,3.7081e-11,8.3566e-11,9.7658,0,6.1614
9.2036,1.0414e-10,2.1228e-10,9.8006,0,5.9964
9.0149,4.8722e-11,2.0104e-10,9.8273,0,6.1507
9.233,7.4059e-11,8.8997e-11,9.7528,0,6.322
9.0074,1.107e-10,9.5351e-11,9.7213,0,5.9943
8.2898,0,1.7417e-10,9.2703,0,6.1962
8.3836,0,1.2082e-10,9.4368,0,-Inf
9.1588,0,1.0278e-10,9.7311,0,6.3124
9.1959,1.3931e-10,1.0174e-10,9.8053,0,6.3157
9.1649,2.7318e-10,2.3268e-10,9.7959,0,6.1355
8.602,8.2893e-10,1.5509e-10,9.6687,0,-Inf
9.2633,4.5867e-11,6.6237e-11,9.7587,0,6.1601
9.0569,5.2032e-11,1.1013e-10,9.7352,0,6.2228
9.3871,2.0931e-11,1.1127e-10,9.7257,0,6.3397
9.1719,9.281e-11,1.1161e-10,9.7379,0,6.1148
8.9288,9.8751e-11,1.9717e-10,9.8112,0,6.323
9.3384,7.4744e-11,8.5986e-11,9.7108,0,6.2965
9.2239,3.7532e-11,9.9024e-11,9.6504,0,6.2587
9.2179,0,9.7374e-11,9.7206,0,6.1233
9.3638,3.5484e-11,9.0162e-11,9.7458,0,6.4579
9.3382,1.1423e-10,7.7071e-11,9.7491,0,6.2762
9.0427,0,1.2096e-10,9.752,0,6.3807
9.0176,9.8085e-11,1.3841e-10,9.7849,0,6.2089
8.6313,1.2685e-10,1.7453e-10,9.58,0,-Inf
8.5522,4.1629e-10,1.5398e-10,9.3836,0,6.2474
9.4223,1.5916e-10,1.0148e-10,9.689,0,6.3024
8.9756,1.1351e-10,3.3924e-10,9.8013,0,5.9463
8.9254,9.4026e-11,1.255e-10,9.743,0,6.1951
9.1792,5.1601e-10,1.789e-10,9.7056,0,6.2921
9.0399,6.8884e-11,1.5816e-10,9.6703,0,6.3363
9.3787,7.3357e-11,1.2669e-10,9.7348,0,6.3014
9.2396,0,9.1105e-11,9.6686,0,6.1796
8.8039,1.4984e-10,8.8477e-11,9.4541,0,6.1308
8.4253,0,4.2362e-11,9.1367,0,-Inf
9.3597,8.0429e-11,5.3504e-11,9.6626,0,6.2547
8.923,0,2.2581e-10,9.7334,0,6.1709
9.1423,0,1.1704e-10,9.7921,0,6.2314
8.577,2.8496e-10,1.1799e-10,9.5254,0,-Inf
8.4839,0,1.2157e-10,9.5361,0,6.1649
9.319,0,7.7031e-11,9.652,0,6.3724
9.2115,1.2548e-10,1.3206e-10,9.79,0,6.2227
9.1167,3.4529e-10,8.2696e-11,9.7918,0,6.1989
9.2534,1.1937e-10,1.0258e-10,9.7033,0,6.1377
9.3068,1.0905e-10,1.0062e-10,9.7459,0,6.1908
9.3038,6.254e-11,8.6115e-11,9.7507,0,6.0858
9.2927,1.0335e-10,1.3501e-10,9.669,0,6.3367
9.4003,0,6.43e-11,9.7365,0,6.2617
9.36,4.6513e-11,9.0033e-11,9.7493,0,6.3454
9.2851,1.2802e-10,9.224e-11,9.7684,0,6.2693
9.0791,2.4332e-10,1.8015e-10,9.7374,0,6.1983
8.9411,3.1392e-10,3.1401e-10,9.8266,0,6.3365
9.2733,2.0893e-10,1.2707e-10,9.8929,0,6.1295
9.254,0,1.1801e-11,9.2149,0,6.2657
9.1977,1.4529e-11,1.0163e-10,9.8066,0,6.0519
9.0952,2.6846e-10,1.7499e-10,9.793,0,6.253
9.0856,1.2141e-10,1.7027e-10,9.8305,0,6.264
9.198,1.2932e-10,9.2149e-11,9.7292,0,6.0859
9.3137,8.5496e-11,4.199e-11,9.1647,0,6.1686
8.9871,1.6938e-10,1.8545e-10,9.7614,0,6.1135
9.2505,1.5013e-10,7.6187e-11,9.7685,0,6.2627
9.1541,0,1.3981e-10,9.7292,0,6.3219
8.9861,2.3733e-10,8.5554e-11,9.6957,0,6.2159
9.0367,0,5.1533e-11,9.568,0,5.9997
9.0944,2.0869e-10,1.0229e-10,9.7093,0,6.2626
8.6341,0,1.377e-10,9.6282,0,6.3857
9.2077,1.7612e-10,9.4525e-11,9.7957,0,6.1815
9.378,7.1754e-11,8.1609e-11,9.7422,0,6.3724
9.3016,3.1437e-11,1.5081e-10,9.8236,0,6.2483
9.2887,2.5594e-10,1.09e-10,9.7405,0,6.1663
8.9431,0,1.909e-10,9.8068,0,6.2959
9.1162,3.0678e-10,1.7397e-10,9.8102,0,6.1961
9.3689,7.9657e-11,9.8302e-11,9.804,0,6.2718
8.9703,1.0416e-10,1.0563e-10,9.7646,0,6.2847
9.3368,2.4958e-10,1.0679e-10,9.7217,0,6.1282
9.3462,4.0765e-11,1.0276e-10,9.7531,0,6.1487
9.2099,2.0771e-10,8.4475e-11,9.7814,0,6.1974
9.2123,7.3345e-11,1.2532e-10,9.6536,0,6.2977
9.1027,1.6219e-10,2.2983e-10,9.7702,0,6.3589
8.7192,0,8.9422e-11,9.5712,0,6.0847
8.1531,0,1.0658e-10,9.2366,0,-Inf
8.788,0,1.2547e-10,9.6148,0,6.2055
9.1015,1.2848e-10,1.4129e-10,9.832,0,6.178
9.0233,6.8552e-11,1.6506e-10,9.8325,0,6.1136
9.0805,1.7969e-10,1.1478e-10,9.7945,0,6.0464
9.1786,1.7534e-10,1.5263e-10,9.6964,0,6.3592
8.3113,0,4.8214e-11,9.1613,0,-Inf
9.1698,8.2794e-11,1.7409e-10,9.7242,0,6.2782
9.3115,0,1.5561e-10,9.6859,0,6.3702
9.007,0,2.45e-10,9.8947,0,6.1663
9.3173,4.0509e-11,6.256e-11,9.6829,0,6.2773
9.1414,2.5851e-10,1.2926e-10,9.8015,0,6.2519
9.059,1.6854e-10,1.1026e-10,9.674,0,6.2145
9.2102,2.3594e-10,9.6311e-11,9.7905,0,6.2008
9.0925,5.2043e-11,1.541e-10,9.7953,0,6.3021
9.2891,0,1.0891e-10,9.7347,0,6.3261
8.9203,1.7296e-10,2.0892e-10,9.755,0,6.336
9.318,8.1982e-11,8.6292e-11,9.7139,0,6.413
9.4373,1.9333e-10,1.199e-10,9.8419,0,6.242
9.3052,1.1442e-10,1.0717e-10,9.7599,0,6.1655
8.9661,1.0403e-10,2.3123e-10,9.6009,0,6.0777
9.2489,0,9.2836e-11,9.7902,0,6.2555
9.2908,4.9435e-11,6.2418e-11,9.6868,0,6.2627
8.874,2.1049e-10,2.2416e-10,9.8121,0,6.2705
9.2257,3.3692e-11,9.9487e-11,9.805,0,6.2149
9.3152,1.912e-11,7.0053e-11,9.5903,0,6.1114
